term,coef,robust_se,OR,OR_l95,OR_u95
Intercept,-1.922732,0.307150,0.146207,0.080079,0.266943
age 6-11 vs 0-5,-0.240491,0.206262,0.786242,0.524786,1.177958
age 12-23 vs 0-5,0.579178,0.171577,1.784572,1.274926,2.497945
age 24-35 vs 0-5,0.943578,0.166372,2.569157,1.854266,3.559667
age 36-47 vs 0-5,0.528826,0.170999,1.696939,1.213694,2.372594
age 48-59 vs 0-5,0.136362,0.170970,1.146097,0.819764,1.602337
male vs female,0.321191,0.077854,1.378768,1.183642,1.606061
poorer vs poorest,-0.035888,0.110887,0.964749,0.776292,1.198956
middle vs poorest,-0.487803,0.147847,0.613974,0.459516,0.820351
richer vs poorest,-0.531366,0.166990,0.587801,0.423727,0.815409
richest vs poorest,-1.272628,0.210596,0.280094,0.185371,0.423221
rural vs urban,-0.130842,0.106841,0.877356,0.711592,1.081735
