model,term,OR,l95,u95,working_correlation
categorical_age_binary_wash,male_vs_female,1.4015,1.1969,1.6410,0.1612
categorical_age_binary_wash,wealth_richest_vs_poorest,0.4279,0.2628,0.6967,0.1612
categorical_age_binary_wash,water_unimproved,1.3968,1.1206,1.7411,0.1612
categorical_age_binary_wash,sanitation_unimproved,1.0968,0.8877,1.3553,0.1612
categorical_age_binary_wash,maternal_higher_vs_none,0.3982,0.2321,0.6833,0.1612
spline_age_binary_wash,male_vs_female,1.4187,1.2121,1.6606,0.1673
spline_age_binary_wash,wealth_richest_vs_poorest,0.4251,0.2606,0.6934,0.1673
spline_age_binary_wash,water_unimproved,1.3926,1.1173,1.7358,0.1673
spline_age_binary_wash,sanitation_unimproved,1.0957,0.8872,1.3532,0.1673
spline_age_binary_wash,maternal_higher_vs_none,0.3919,0.2285,0.6720,0.1673
categorical_age_detailed_wash,surface_water_vs_improved,1.4277,1.1155,1.8272,0.1613
categorical_age_detailed_wash,unprotected_groundwater_vs_improved,1.3449,0.9308,1.9430,0.1613
categorical_age_detailed_wash,open_defecation_vs_improved,1.1823,0.9338,1.4969,0.1613
categorical_age_detailed_wash,other_unimproved_sanitation_vs_improved,0.9426,0.7030,1.2638,0.1613
categorical_age_detailed_wash,maternal_higher_vs_none,0.4020,0.2342,0.6900,0.1613
