term,coef,robust_se,OR,OR_l95,OR_u95
Intercept,-1.979489,0.292514,0.138140,0.077862,0.245082
age 6-11 vs 0-5,-0.197987,0.210265,0.820380,0.543293,1.238786
age 12-23 vs 0-5,0.613707,0.166021,1.847266,1.334164,2.557700
age 24-35 vs 0-5,0.977136,0.163926,2.656836,1.926763,3.663543
age 36-47 vs 0-5,0.569177,0.167452,1.766812,1.272484,2.453175
age 48-59 vs 0-5,0.181929,0.175764,1.199529,0.849959,1.692870
male vs female,0.318512,0.076739,1.375080,1.183058,1.598268
poorer vs poorest,-0.015401,0.107297,0.984717,0.797955,1.215191
middle vs poorest,-0.460956,0.138897,0.630680,0.480372,0.828020
richer vs poorest,-0.517360,0.160971,0.596092,0.434803,0.817211
richest vs poorest,-1.272444,0.211842,0.280146,0.184953,0.424334
rural vs urban,-0.122898,0.105162,0.884353,0.719631,1.086780
