variable,category,n_unweighted,stunted_unweighted,weighted_prevalence,design_se,ci95_lower,ci95_upper
overall,All,4928,927,0.17385025722990444,0.007953419314553406,0.15826155537337977,0.1894389590864291
age_group,24-35,950,256,0.24623299592745876,0.018754802572015714,0.20947358288630796,0.28299240896860955
age_group,36-47,989,197,0.18825326128529124,0.016904896725874884,0.15511966370257646,0.22138685886800602
age_group,12-23,1054,216,0.17222822523034365,0.014851255563627796,0.14311976432563317,0.20133668613505412
age_group,6-11,494,52,0.11509849453554527,0.0193581054566609,0.07715660784048992,0.15304038123060063
age_group,0-5,506,67,0.13238746819467306,0.02278140816230787,0.08773590819654964,0.1770390281927965
age_group,48-59,935,139,0.14161147711893388,0.016580439459611254,0.10911381577809581,0.17410913845977194
sex,female,2399,398,0.1527939681304935,0.010253282794371588,0.1326975338535252,0.1728904024074618
sex,male,2529,529,0.1940303910733335,0.01124050783609746,0.1719989957145825,0.2160617864320845
wealth,middle,877,134,0.16891185018454785,0.018480351063896058,0.13269036209931157,0.20513333826978414
wealth,poorer,1220,275,0.2201158468064336,0.014926398300069223,0.1908601061382979,0.24937158747456928
wealth,richer,694,103,0.15456495704277995,0.019358567990613043,0.11662216378117839,0.1925077503043815
wealth,richest,536,40,0.07476448986219435,0.014397774409458039,0.04654485201965659,0.1029841277047321
wealth,poorest,1601,375,0.227775274903548,0.015730484691938756,0.196943524907348,0.25860702489974796
residence,rural,2904,590,0.19599248173827197,0.010074749653210027,0.17624597241798032,0.21573899105856362
residence,urban,2024,337,0.15063677079700888,0.012392202582254853,0.12634805373578936,0.1749254878582284
region,western,229,32,0.13471983049412528,0.0234066835585573,0.08884273071935297,0.1805969302688976
region,central,265,42,0.16461095841928608,0.028517124901297056,0.10871739361274385,0.2205045232258283
region,greater accra,234,27,0.11386585756373113,0.02307364056373017,0.06864152205882,0.15909019306864225
region,volta,206,31,0.1443481107626146,0.02437917430596484,0.09656492912292353,0.1921312924023057
region,eastern,238,25,0.10435558084833253,0.01491457826059635,0.07512300745756369,0.13358815423910136
region,ashanti,315,53,0.17234334831434195,0.02740814030965127,0.11862339330742547,0.22606330332125843
region,western north,208,22,0.10640638826026014,0.021003857778028427,0.06523882701532442,0.14757394950519587
region,ahafo,269,44,0.1646188843999229,0.018581063717073285,0.12819999951445926,0.20103776928538653
region,bono,212,35,0.16960894916092906,0.03109473015442842,0.10866327805824935,0.23055462026360876
region,bono east,323,48,0.13874416911716833,0.020176753158348278,0.0991977329268057,0.17829060530753096
region,oti,300,58,0.20284126714722253,0.03272643376472001,0.13869745696837132,0.26698507732607374
region,northern,503,148,0.2957556917542198,0.024611798514685493,0.24751656666543623,0.34399481684300337
region,savannah,423,88,0.21025451096114542,0.01854169978742398,0.17391277937779442,0.2465962425444964
region,north east,523,150,0.2932127894926677,0.03066021677283165,0.2331187646179177,0.35330681436741773
region,upper east,339,68,0.21073969384122898,0.027126419756672477,0.15757191111815094,0.263907476564307
region,upper west,341,56,0.16509515767113944,0.02377019632945271,0.11850557286541213,0.21168474247686675
maternal_education,secondary,2014,325,0.15290000024894101,0.011025692979241525,0.13128964200962762,0.1745103584882544
maternal_education,Missing,425,96,0.21091394739823946,0.028985108565949186,0.15410313460897906,0.26772476018749986
maternal_education,primary,693,138,0.18456006529892408,0.019631362362437517,0.14608259506854654,0.2230375355293016
maternal_education,higher,328,18,0.05675840758848746,0.016601014608221727,0.02422041895637287,0.08929639622060204
maternal_education,no education,1468,350,0.2435887169112834,0.014733665676925564,0.21471073218450928,0.2724667016380575
water_source,Improved source,3904,662,0.16426902698939935,0.008706953909171854,0.14720339732742252,0.18133465665137619
water_source,Unimproved source,1024,265,0.22970988184927313,0.020374008975980296,0.18977682425635176,0.26964293944219453
sanitation,Improved facility,2219,312,0.13750031034725116,0.009944845764868352,0.11800841264810918,0.15699220804639313
sanitation,Unimproved/no facility,2709,615,0.22264727979036064,0.012053055528683996,0.19902329095414,0.24627126862658127
