variable,category,n_unweighted,stunted_unweighted,weighted_prevalence
overall,all,4928,927,0.1738502572
age_group,0-5,506,67,0.1323874682
age_group,6-11,494,52,0.1150984945
age_group,12-23,1054,216,0.1722282252
age_group,24-35,950,256,0.2462329959
age_group,36-47,989,197,0.1882532613
age_group,48-59,935,139,0.1416114771
sex,male,2529,529,0.1940303911
sex,female,2399,398,0.1527939681
wealth,poorest,1601,375,0.2277752749
wealth,poorer,1220,275,0.2201158468
wealth,middle,877,134,0.1689118502
wealth,richer,694,103,0.1545649570
wealth,richest,536,40,0.0747644899
residence,urban,2024,337,0.1506367708
residence,rural,2904,590,0.1959924817
region,western,229,32,0.1347198305
region,central,265,42,0.1646109584
region,greater accra,234,27,0.1138658576
region,volta,206,31,0.1443481108
region,eastern,238,25,0.1043555808
region,ashanti,315,53,0.1723433483
region,western north,208,22,0.1064063883
region,ahafo,269,44,0.1646188844
region,bono,212,35,0.1696089492
region,bono east,323,48,0.1387441691
region,oti,300,58,0.2028412671
region,northern,503,148,0.2957556918
region,savannah,423,88,0.2102545110
region,north east,523,150,0.2932127895
region,upper east,339,68,0.2107396938
region,upper west,341,56,0.1650951577
maternal_education,no education,1468,350,0.2435887169
maternal_education,primary,693,138,0.1845600653
maternal_education,secondary,2014,325,0.1529000002
maternal_education,higher,328,18,0.0567584076
