parameter,rhat,ess_bulk,ess_tail,mean,sd,median,q2_5,q97_5
alpha,1.003203,1830.166913,1935.956358,-2.604845,0.339818,-2.598362,-3.275520,-1.955135
tau_community,1.021127,543.506162,577.127853,0.376374,0.137169,0.388710,0.066908,0.609775
tau_household,1.017634,523.827593,789.552408,1.236158,0.151370,1.233550,0.940484,1.534729
beta:male,1.001412,6871.366764,3310.635852,0.409523,0.096394,0.408625,0.218479,0.598854
beta:age_24-35,1.000973,3302.250468,3351.467418,1.073383,0.185618,1.069699,0.720878,1.437414
beta:wealth_richest,1.000347,3669.900840,3293.108739,-1.018249,0.297215,-1.019965,-1.622440,-0.448620
beta:rural,0.999520,4860.829037,3356.023101,-0.166575,0.142013,-0.167847,-0.451892,0.109716
beta:water_unimproved,1.000841,5443.688785,3586.341520,0.407780,0.140842,0.404288,0.138253,0.686703
beta:sanitation_unimproved,1.001631,6097.727964,3493.952846,0.109369,0.135387,0.112238,-0.155485,0.377049
beta:maternal_education_higher,1.002068,6029.814707,3257.881879,-1.009347,0.305800,-1.003361,-1.624000,-0.433214
