prior,term,median_or,l95,u95,posterior_probability_direction
tight,male,1.4523759799102822,1.212293778503945,1.7591214724554982,1.000
tight,water_unimproved,1.4781406923077265,1.1413103750305478,1.8781628898022615,0.999
tight,sanitation_unimproved,1.1496117674697548,0.9119683852967473,1.4721476282596817,0.881
tight,maternal_education_higher,0.43817392595695454,0.25584515804644625,0.7030668452973131,1.000
primary,male,1.4992069975882745,1.2358123105546155,1.825518824141113,1.000
primary,water_unimproved,1.5038746012230413,1.1388580963847954,1.9955985357272328,0.998
primary,sanitation_unimproved,1.110831100187505,0.8650403224050248,1.4336674764060913,0.790
primary,maternal_education_higher,0.3766525246274925,0.1903421817882003,0.6992726974189968,0.999
wide,male,1.5165373024340876,1.250008709271207,1.849975872567914,1.000
wide,water_unimproved,1.4811975175887104,1.1191086945138804,2.056872498953856,0.997
wide,sanitation_unimproved,1.096619991786953,0.8405331046702653,1.4267013802224127,0.750
wide,maternal_education_higher,0.35466023857743495,0.18306940946606376,0.6593208911740835,1.000
centered_intercept,male,1.507665,1.250227,1.853652,1.000
centered_intercept,water_unimproved,1.491863,1.100153,1.979484,0.997
centered_intercept,sanitation_unimproved,1.114898,0.845121,1.429871,0.793
centered_intercept,maternal_education_higher,0.369891,0.209598,0.664267,1.000
centered_intercept,wealth_richest,0.351843,0.206172,0.616795,0.999
